,PostalCode,Borough,Neighbourhood,Latitude,Longitude
55,M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998
56,M3J,North York,"Northwood Park, York University",43.7679803,-79.48726190000001
57,M2L,North York,"Silver Hills, York Mills",43.7574902,-79.37471409999999
58,M8Y,Etobicoke,"Humber Bay, King's Mill Park, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",43.6362579,-79.49850909999999
59,M9N,York,Weston,43.706876,-79.51818840000001
60,M3A,North York,Parkwoods,43.7532586,-79.3296565
61,M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312
62,M3K,North York,CFB Toronto,43.737473200000004,-79.46476329999999
63,M3H,North York,"Bathurst Manor, Wilson Heights",43.7543283,-79.4422593
64,M1M,Scarborough,"Cliffcrest, Cliffside",43.716316,-79.23947609999999
65,M2M,North York,"Newtonbrook, Willowdale",43.789053,-79.40849279999999
66,M9P,Etobicoke,Westmount,43.696319,-79.53224240000002
67,M4V,Central Toronto,"Deer Park, Rathnelly, South Hill",43.68641229999999,-79.4000493
68,M6M,York,"Keelesdale, Mount Dennis, Silverthorn",43.6911158,-79.47601329999999
69,M4X,Downtown Toronto,"Cabbagetown, St. James Town",43.667967,-79.3676753
70,M6K,West Toronto,"Exhibition Place, Parkdale Village",43.6368472,-79.42819140000002
71,M1J,Scarborough,Scarborough Village,43.7447342,-79.23947609999999
72,M5A,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359
73,M1V,Scarborough,"Agincourt North, Milliken",43.8152522,-79.2845772
74,M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499
75,M6A,North York,"Lawrence Heights, Lawrence Manor",43.718517999999996,-79.46476329999999
76,M1S,Scarborough,Agincourt,43.7942003,-79.26202940000002
77,M9V,Etobicoke,"Beaumond Heights, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",43.739416399999996,-79.5884369
78,M2K,North York,Bayview Village,43.7869473,-79.385975
79,M9C,Etobicoke,Markland Wood,43.6435152,-79.57720079999999
80,M6P,West Toronto,High Park,43.6616083,-79.46476329999999
81,M8X,Etobicoke,The Kingsway,43.653653600000005,-79.5069436
82,M4L,East Toronto,India Bazaar,43.6689985,-79.31557159999998
83,M4C,East York,Woodbine Heights,43.695343900000005,-79.3183887
